epoch,train_loss,val_loss,val_rmse_cm,epoch_time_s,elapsed_s,eta_s,lr
1,2.0289129529680525,1.096428394317627,2.372522085905075,5.272648800048046,5.272648800048046,100.18032720091287,0.001
2,0.9713722382272992,0.9274561554193497,2.021581918001175,5.6687194999540225,10.941368300002068,98.47231470001861,0.001
3,0.7561661771365574,0.731545627117157,1.838192194700241,5.185862899990752,16.12723119999282,91.38764346662597,0.001
4,0.6459692205701556,0.7243321090936661,1.7979316413402557,5.400670500006527,21.527901699999347,86.11160679999739,0.001
5,0.5838398507663182,0.6644119769334793,1.7441140115261078,5.258493700064719,26.786395400064066,80.3591862001922,0.001
6,0.5401832929679325,0.6229129210114479,1.6975055038928986,6.071047100005671,32.85744250006974,76.66736583349606,0.001
7,0.5018546070371356,0.616011917591095,1.6756316125392914,6.545773800113238,39.403216300182976,73.17740170033981,0.001
8,0.4679728150367737,0.6177796497941017,1.6902384757995605,6.2024219000013545,45.60563820018433,68.4084573002765,0.001
9,0.4422111468655722,0.5964129492640495,1.641185700893402,6.1187739999732,51.72441220015753,63.218726022414764,0.001
10,0.42998690264565603,0.6023965701460838,1.6263523399829865,5.7357426000526175,57.46015480021015,57.46015480021015,0.001
11,0.41023617557116915,0.6096551045775414,1.654424101114273,6.768755099968985,64.22890990017913,52.55092628196474,0.001
12,0.3906501148428236,0.5709390789270401,1.5971483290195465,6.264658199972473,70.4935681001516,46.99571206676774,0.001
13,0.3694476527827127,0.5862642601132393,1.6213767230510712,5.738558999961242,76.23212710011285,41.0480684385223,0.001
14,0.3562269764287131,0.5947263985872269,1.638572096824646,6.0078105999855325,82.23993770009838,35.24568758575645,0.001
15,0.34306676047188894,0.6162159368395805,1.678802728652954,6.491691900067963,88.73162960016634,29.577209866722114,0.001
16,0.3359465173312596,0.5705087631940842,1.5904546082019806,5.624314099899493,94.35594370006584,23.58898592501646,0.001
17,0.31848831261907307,0.590551383793354,1.626577913761139,5.508152500027791,99.86409620009363,17.623075800016522,0.001
18,0.3135035037994385,0.5852231457829475,1.590978354215622,5.342267300002277,105.2063635000959,11.6895959444551,0.001
19,0.3122372967856271,0.6134914979338646,1.6085408627986908,5.30677150003612,110.51313500013202,5.816480789480633,0.001
20,0.2975758825029646,0.6243695467710495,1.627359300851822,5.400408799992874,115.9135438001249,0.0,0.001
